ComInsee;ComLib;InsNumeroInstall;InsNom;EquipementId;EquNom;EquNomBatiment;EquNbEquIdentique;EquipementTypeCode;EquipementTypeLib;GestionTypeProprietairePrincLib;GestionTypeGestionnairePrincLib;GestionTypeProprietaireSecLib;GestionTypeGestionnaireSecLib;EquGestionDSP;EquDouche;EquEclairage;EquErpCTS;EquErpREF;EquErpL;EquErpN;EquErpO;EquErpOA;EquErpP;EquErpPA;EquErpR;EquErpRPE;EquErpSG;EquErpX;EquErpCategorie;EquAnneeService;AnneeServiceLib;EquNbPlaceTribune;NatureSolLib;NatureLibelle;EquHauteurEvolution;EquLongueurEvolution;EquLargeurEvolution;EquSurfaceEvolution;EquHauteurSurfaceEvo;EquNbCouloirPiste;EquNbVestiaireSpo;EquVestiaireSpoChauffe;EquNbVestiaireArbitre;EquSanitaireSportif;EquSanitairePublic;EquOuvertSaison;EquProximite;EquSono;EquTableauFixe;EquChrono;EquAmenagementAucun;EquUtilScolaire;EquUtilClub;EquUtilAutre;EquUtilIndividuel;EquUtilPerformance;EquUtilFormation;EquUtilRecreation;EquDateDernierTravauxReal;AnneeTravauxRealLibelle;EquDateDernierTravauxAucun;EquTravauxRealConformite;EquTravauxRealNorme;EquTravauxRealUsager;EquTravauxRealDegradation;EquTravauxRealVetuste;EquAccesHandimAire;EquAccesHandimTribune;EquAccesHandimVestiaire;EquAccesHandimSaniSpo;EquAccesHandimSaniPub;EquAccesHandimAucun;EquAccesHandisAucun;EquAccesHandisAire;EquAccesHandisTribune;EquAccesHandisVestiaire;EquAccesHandisSaniSpo;EquAccesHandisSaniPub;EquAccueilClub;EquAccueilSalle;EquAccueilBuvette;EquAccueilDopage;EquAccueilMedic;EquAccueilInfirmerie;EquAccueilBureau;EquAccueilReception;EquAccueilLocalRangement;EquAccueilAutre;EquAccueilAucun;EquChauffageNon;EquChauffageFuel;EquChauffageGaz;EquChauffageElectricite;EquChauffageSolaire;EquChauffageAutre;EquConfortSauna;EquConfortBainBouillonant;EquConfortBainVapeur;EquConfortSolarium;EquConfortAutre;EquConfortAucun;EquDemarcheHQE;EquSaeNbCouloir;EquSaeHauteur;EquSaeSurface;EquNatureSignal;EquNatureAlert;EquNatureAcPubPed;EquNatureAcPubRout;EquNatureAcPubMec;EquNatureAcPubNau;EquNatureAcSecPed;EquNatureAcSecRout;EquNatureAcSecMec;EquNatureAcSecNau;EquNatureLocTec;EquNatureLocPed;EquNatureAutorise;EquNaturePDESI;EquipNatureSituationLib;EquNatureSEVoies;EquNatureClassFedeMini;EquNatureClassFedeMaxi;EquNatureESTour;EquNatureAETreuil;EquNatureSKTotalRemontee;EquipementTir10;EquipementTir25;EquipementTir50;EquipementTir100;EquipementTir200;EquipementTir300;EquipementTirPlateau;EquipementTirAutre;EquAthDev;EquAthLongLigneDroite;EquAthNbCouloirLigne;EquAthNbCouloirHorsLigne;EquAthRiviere;EquNatSurv;EquAthNbSautTotal;EquAthNbSautHauteur;EquAthNbSautLongueur;EquAthNbSautTriple;EquAthNbSautPerche;EquAthNbLancerTotal;EquAthNbPoids;EquAthNbDisque;EquAthNbJavelot;EquAthNbMarteau;EquAthNBMarteauMixte;EquNatFormeLib;EquNatLongueurBassin;EquNatLargeurBassin;EquNatSurfaceBassin;EquNatProfMini;EquNatProfMax;EquNatCouloir;EquNatSurfacePlageBassin;EquNatNbTTotal;EquNatNbT1;EquNatNbT3;EquNatNbPTotal;EquNatNbP3;EquNatNbP5;EquNatNbP7;EquNatNbP10;EquNatMaV;EquNatTobog;EquNatPentaglisse;EquNatRiviere;EquNatImHandi;EquNatFM;EquNatMM;EquNatEclSub;EquNatSonorisationSub;EquNatAutre;EquPresencePataugeoir;EquGpsX;EquGpsY;EquDateCreation;EquDateMaj
44001;Abbaretz;440010002;Terrain De Sports;69849;Terrain De Football Engazonné;;1;2802;Terrain de football;Commune;Commune;Commune;Association(s);Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;5;1978;1975-1984;200;Gazon naturel;Découvert;;117;75;8775;;0;4;Oui;2;Oui;Oui;Non;Non;Non;Non;Non;Oui;1;1;;;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53106;47.55761;2005-08-02 00:00:00;2017-04-11 00:00:00
44001;Abbaretz;440010002;Terrain De Sports;129515;Terrain Stabilisé;;1;2802;Terrain de football;Commune;Commune;Commune;Association(s);Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;5;1978;1975-1984;0;Stabilisé/cendrée;Découvert;;117;75;8775;;0;4;Oui;2;Oui;Oui;Non;Non;Non;Non;Non;Oui;1;1;;;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53024;47.55783;2005-09-09 00:00:00;2014-05-06 00:00:00
44001;Abbaretz;440010004;Les 5 Tresors;197752;Sentier Pédestre équestre Vtt Des 5 Trésors;;1;3012;Boucle de randonnée;Commune;EPCI;Commune;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;2000;1995-2004;0;Surface naturelle;Site naturel aménagé;0;28800;0;0;;0;0;Non;0;Non;Non;Non;Oui;Non;Non;Non;Oui;1;1;1;1;;;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Oui;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.52446;47.554627;2005-11-04 00:00:00;2017-04-11 00:00:00
44001;Abbaretz;440010003;Site De La Mine;247310;L'étang De La Mine - Base Départementale Nautique Et De Loisirs;;1;2401;Site d'activités aquatiques et nautiques;Département;Association(s);Département;;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;1999;1995-2004;0;Surface naturelle;Site naturel aménagé;;900;170;150000;;0;2;Non;0;Oui;Oui;Non;Non;Non;Non;Non;Oui;;1;;;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non;Non;Oui;Non;Oui;Non;Non-concerne;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Non;Plan d'eau intérieur;;;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54495;47.55704;2005-12-13 00:00:00;2017-04-11 00:00:00
44001;Abbaretz;440010002;Terrain De Sports;287645;Courts De Tennis;;2;501;Court de tennis;Commune;Commune;Commune;;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;5;2000;1995-2004;0;Bitume;Découvert;;30;25;750;;0;4;Oui;2;Oui;Oui;Non;Oui;Non;Non;Non;Oui;;;;1;;;1;2005;A partir de 2005;Non;Non;Non;Oui;Non;Non;Non;Non-concerne;Non;Non;Non;Oui;Oui;Non;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53239;47.55778;2008-02-13 00:00:00;2017-04-11 00:00:00
44001;Abbaretz;440010003;Site De La Mine;312133;Parcours D'Orientation;;1;3005;Parcours fixe de course déorientation;Commune;EPCI;;;Non;Non;Non;Non;Non;Non;;;;;Non;Non;Non;Non;Non;;2010;A partir de 2005;0;Surface naturelle;Site naturel aménagé;0;0;0;350000;;0;0;Non;0;Non;Oui;Non;Oui;Non;Non;Non;Oui;1;1;1;1;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54257;47.56003;2010-08-31 00:00:00;2014-05-06 00:00:00
44001;Abbaretz;440010003;Site De La Mine;312136;Entre étangs Et Pierre Bleue;;1;3012;Boucle de randonnée;Commune;EPCI;;;Non;Non;Non;Non;Non;Non;;;;;Non;Non;Non;Non;Non;;2009;A partir de 2005;0;Surface naturelle;Site naturel aménagé;;2700;2;5400;;0;0;Non;0;Non;Oui;Non;Oui;Non;Non;Non;Oui;;1;1;1;1;1;1;;;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54181;47.55969;2010-08-31 00:00:00;2014-05-06 00:00:00
44001;Abbaretz;440010003;Site De La Mine;343672;Terrain De Boules;;1;202;Terrain de pétanque;Commune;Commune;;;Non;Non;Non;Non;Non;Non;;;;;Non;Non;Non;Non;Non;;;1995-2004;0;Surface naturelle;Découvert;;15;5;75;;2;0;Non;0;Non;Oui;Non;Oui;Non;Non;Non;Oui;;;;1;;;1;;;Oui;Non;Non;Non;Non;Non;Non;Non-concerne;Non-concerne;Non-concerne;Non;Oui;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.54231;47.55802;2014-05-06 00:00:00;2017-04-11 00:00:00
44001;Abbaretz;440010005;Ecole Maternelle Louis Davy;343679;Salle De Motricité;;1;2201;Salles polyvalentes / des fétes / non spécialisées;Commune;Commune;;;Non;Oui;Oui;Non;Non;Non;;;;;Non;Non;Non;Non;Non;5;2004;1995-2004;0;Parquet;Intérieur;;10;5;50;;1;1;Oui;0;Non;Oui;Non;Non;Non;Non;Non;Oui;1;;;;;1;;;;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53201;47.55151;2014-05-06 00:00:00;2014-06-12 00:00:00
44001;Abbaretz;440010006;Salle Polyvalente;343682;Salle Polyvalente;;1;2201;Salles polyvalentes / des fétes / non spécialisées;Commune;Commune;;;Non;Non;Oui;Non;Non;Oui;;;;;Non;Non;Non;Non;Non;3;1988;1985-1994;0;Parquet;Intérieur;;20;20;400;;0;0;Non;0;Non;Oui;Non;Non;Non;Non;Non;Oui;1;;1;;;1;1;;;Oui;Non;Non;Non;Non;Non;Oui;Non-concerne;Non-concerne;Non-concerne;Oui;Non;Oui;Non;Non-concerne;Non-concerne;Non-concerne;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.53257;47.553897;2014-05-06 00:00:00;2017-04-11 00:00:00
